date,TotalSteps,Calories,SedentaryMinutes,VeryActiveMinutes,LightlyActiveMinutes,TotalMinutesAsleep,AvgHR
2016-04-12,8236.848484848484,2390.6969696969695,1026.2121212121212,22.303030303030305,199.0,441.9230769230769,78.89
2016-04-13,7198.727272727273,2286.6363636363635,1021.7878787878788,20.333333333333332,181.75757575757575,430.42857142857144,76.07272727272726
2016-04-14,7743.575757575758,2356.3939393939395,1010.030303030303,20.939393939393938,201.0,445.2307692307692,77.61666666666666
2016-04-15,7533.848484848485,2355.181818181818,961.060606060606,19.181818181818183,213.84848484848484,427.47058823529414,80.4
2016-04-16,8679.15625,2392.9375,1002.65625,27.84375,193.8125,391.7142857142857,84.23333333333333
2016-04-17,6409.25,2230.96875,1049.96875,18.90625,165.34375,464.0833333333333,80.4076923076923
2016-04-18,7896.96875,2333.375,1061.21875,24.40625,188.28125,419.9,78.78181818181818
2016-04-19,8048.65625,2359.09375,1003.9375,23.96875,201.90625,409.07142857142856,81.7
2016-04-20,8162.96875,2395.21875,974.125,24.1875,203.59375,446.26666666666665,79.25
2016-04-21,8243.59375,2421.875,1031.875,26.84375,182.65625,376.0,79.56363636363636
2016-04-22,7446.375,2327.65625,1032.125,24.4375,195.53125,392.9230769230769,78.47500000000001
2016-04-23,8616.90322580645,2388.548387096774,945.483870967742,18.322580645161292,240.41935483870967,430.53333333333336,79.25454545454545
2016-04-24,7394.40625,2291.4375,992.15625,21.03125,186.3125,487.3076923076923,80.30833333333334
2016-04-25,7932.78125,2349.5625,1038.6875,28.40625,192.875,396.0,81.69090909090909
2016-04-26,7834.0,2331.375,1025.40625,19.8125,200.25,369.2857142857143,78.55833333333334
2016-04-27,8078.625,2328.5625,1004.25,23.65625,197.5625,427.5,76.2909090909091
2016-04-28,7593.625,2316.0625,981.71875,17.96875,209.1875,398.5625,77.85833333333333
2016-04-29,7321.53125,2272.5625,989.78125,16.25,204.96875,386.26666666666665,76.39166666666667
2016-04-30,8346.0,2373.935483870968,938.9032258064516,20.258064516129032,218.5483870967742,444.3333333333333,80.35454545454546
2016-05-01,6895.666666666667,2230.4333333333334,953.5,22.633333333333333,160.26666666666668,424.8125,75.07272727272726
2016-05-02,7049.448275862069,2275.448275862069,1027.4137931034484,16.06896551724138,186.82758620689654,443.6923076923077,77.05833333333334
2016-05-03,8558.724137931034,2453.896551724138,1013.4137931034483,24.93103448275862,203.3448275862069,397.0,76.07000000000001
2016-05-04,6763.758620689655,2283.137931034483,1037.1724137931035,13.96551724137931,179.79310344827587,430.0,76.47
2016-05-05,8731.034482758621,2415.0689655172414,1032.9310344827586,22.06896551724138,207.24137931034483,361.5833333333333,78.28999999999999
2016-05-06,7492.6551724137935,2375.0689655172414,1021.4827586206897,20.413793103448278,201.93103448275863,411.6666666666667,78.16363636363636
2016-05-07,7151.241379310345,2246.2413793103447,953.8965517241379,20.620689655172413,181.24137931034483,406.15384615384613,80.78888888888889
2016-05-08,7049.407407407408,2303.4444444444443,958.074074074074,17.074074074074073,184.8148148148148,442.85714285714283,78.875
2016-05-09,8248.814814814816,2335.6666666666665,976.3333333333334,22.85185185185185,201.1851851851852,416.1818181818182,79.77000000000001
2016-05-10,7951.423076923077,2229.346153846154,958.6923076923077,24.192307692307693,179.34615384615384,407.4166666666667,75.3875
2016-05-11,7519.5,2190.0833333333335,888.2083333333334,21.25,184.54166666666666,438.54545454545456,76.3
2016-05-12,3482.3333333333335,1139.2857142857142,652.0,4.190476190476191,98.80952380952381,442.375,75.22857142857143
