weekday,TotalSteps,Calories,TotalMinutesAsleep,AvgHR
Friday,7448.230158730159,2331.785714285714,405.42105263157896,78.40416666666667
Monday,7780.866666666667,2324.2083333333335,419.5,79.26363636363637
Saturday,8219.260162601626,2352.4552845528456,419.0701754385965,81.24651162790697
Sunday,6933.231404958678,2263.0,452.74545454545455,78.76818181818182
Thursday,7405.836734693878,2199.5714285714284,401.296875,77.8923076923077
Tuesday,8125.006578947368,2356.0131578947367,404.53846153846155,78.3156862745098
Wednesday,7559.373333333333,2302.62,434.6818181818182,76.96346153846153
